place_id,name,state,lga,lat,lon,use_for_reachability,anchor_source,anchor_status,anchor_lat,anchor_lon,road_snap_distance_m,road_snap_status,road_snap_highway,road_snap_road_name,input_lat,input_lon,gazetteer_type,gazetteer_lga,gazetteer_seen_types,area_sqkm,point_method,is_hub,place_type,loc_code,source,source_objectid,official_name_raw,graph_node,official_centre_lat,official_centre_lon,roadpoint_offset_m,graph_component_id,hub_component_candidate_count,all_component_candidate_count,mainland_filter_reason,gazetteer_ref_number,input_to_anchor_distance_m,road_snap_lat,road_snap_lon,road_snap_search_radius_m,road_snap_edge_u,road_snap_edge_v,road_snap_edge_key,road_snap_osmid,road_snap_edge_length_m,road_snap_used_avoided_road_type
449,Brisbane,QLD,,-27.46760848,153.0278843,TRUE,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_only_review_lga,-27.46778,153.02806,25.8,snapped_to_nearest_usable_road,,,-27.4689682,153.0234991,POPL,Brisbane City,POPL,,existing_hub_coordinate_preserved,1,hub_anchor_existing,,existing_places_csv_unmatched_hub,,Brisbane,,,,,,,,,4555,469,-27.46760848,153.0278843,50,3668270,3250486,0,,222.5,FALSE
507,Bundaberg,QLD,,-24.86602142,152.3494095,TRUE,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_only_review_lga,-24.86611,152.34944,10.4,snapped_to_nearest_usable_road,,,-24.8653253,152.3516785,POPL,Bundaberg Regional,POPL;PRSH,,existing_hub_coordinate_preserved,1,hub_anchor_existing,,existing_places_csv_unmatched_hub,,Bundaberg,,,,,,,,,5190,242.1,-24.86602142,152.3494095,50,1421261,1421310,0,,145.6,FALSE
566,Cairns,QLD,,-16.92200086,145.7757547,TRUE,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_only_review_lga,-16.92194,145.77583,10.5,snapped_to_nearest_usable_road,,,-16.9206657,145.7721854,POPL,Cairns Regional,CNTY;POPL;PRSH,,existing_hub_coordinate_preserved,1,hub_anchor_existing,,existing_places_csv_unmatched_hub,,Cairns,,,,,,,,,5683,412.8,-16.92200086,145.7757547,50,305211,305124,0,,110.6,FALSE
qld_locality_578,Charleville,QLD,Murweh Shire,-26.40201413,146.2386198,TRUE,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-26.40167,146.23833,48,snapped_to_nearest_usable_road,,,-26.3954307,146.2961412,POPL,Murweh Shire,POPL;PRSH;LOCB,613.4885800000001,existing_hub_coordinate_preserved,1,hub_anchor_official_locality,578,qld_admin_boundaries_locality_boundary_plus_existing_hub_coordinate,591,Charleville,,-26.3879651,146.3189971,,,,,,6893,5799.6,-26.40201413,146.2386198,50,587372,587352,0,,233.4,FALSE
1502,Hervey Bay,QLD,,-25.2896656,152.8404072,TRUE,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_only_review_lga,-25.29,152.84,55.2,snapped_to_nearest_usable_road,,,-25.2985784,152.8535216,POPL,Fraser Coast Regional,BAY;POPL,,existing_hub_coordinate_preserved,1,hub_anchor_existing,,existing_places_csv_unmatched_hub,,Hervey Bay,,,,,,,,,46749,1660.7,-25.2896656,152.8404072,100,2019184,2019188,0,,60,FALSE
qld_locality_1577,Longreach,QLD,Longreach Regional,-23.44217917,144.249112,TRUE,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-23.44222,144.24917,7.4,snapped_to_nearest_usable_road,,,-23.3495178,143.701654,POPL,Longreach Regional,POPL;PRSH;LOCB,23469.83112,existing_hub_coordinate_preserved,1,hub_anchor_official_locality,1577,qld_admin_boundaries_locality_boundary_plus_existing_hub_coordinate,2260,Longreach,,-23.3828038,143.6406708,,,,,,20044,56818.5,-23.44217917,144.249112,50,531081,531136,0,,216.4,FALSE
qld_locality_1893,Mount Isa,QLD,Mount Isa City,-20.72620006,139.4939044,TRUE,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-20.726112,139.493896,9.8,snapped_to_nearest_usable_road,,,-20.5359808,139.4549052,POPL,Mount Isa City,POPL;LOCB,6962.125453,existing_hub_coordinate_preserved,1,hub_anchor_official_locality,1893,qld_admin_boundaries_locality_boundary_plus_existing_hub_coordinate,1012,Mount Isa,,-20.4943621,139.4079595,,,,,,23053,21527.5,-20.72620006,139.4939044,50,404465,404459,0,,45.4,FALSE
3169,Toowoomba,QLD,,-27.55917021,151.9536114,TRUE,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_only_review_lga,-27.55917,151.95361,0.1,snapped_to_nearest_usable_road,,,-27.5610193,151.953351,POPL,Toowoomba Regional,POPL;PRSH,,existing_hub_coordinate_preserved,1,hub_anchor_existing,,existing_places_csv_unmatched_hub,,Toowoomba,,,,,,,,,34970,207.2,-27.55917021,151.9536114,50,2359662,1845501,0,,34.4,FALSE
3177,Townsville,QLD,,-19.2597108,146.8169296,TRUE,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_only_review_lga,-19.25972,146.81694,1.5,snapped_to_nearest_usable_road,,,-19.2569391,146.8239537,POPL,Townsville City,POPL,,existing_hub_coordinate_preserved,1,hub_anchor_existing,,existing_places_csv_unmatched_hub,,Townsville,,,,,,,,,35084,798.5,-19.2597108,146.8169296,50,1476935,1476936,0,,7.7,FALSE
qld_locality_6,Abercorn,QLD,North Burnett Regional,-25.13294697,151.1295321,TRUE,qld_gazetteer_settlement_point,gazetteer_settlement_exact_name_exact_lga,-25.13306,151.12944,15.6,snapped_to_nearest_usable_road,,,-25.1439707,151.1497779,POPL,North Burnett Regional,POPL;PRSH;LOCB,94.313961,road_node_inside_locality_hub_component,0,locality_road_representative_point,6,qld_admin_boundaries_locality_boundary,25,Abercorn,1743763,-25.1375807,151.1585863,1256.5,0,12,12,,24,2379.8,-25.13294697,151.1295321,50,1744058,1744054,1,,369.7,FALSE
